"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
2749;"Peter Alto Olesen";"P. A. Olesen";FALSE;"kontorchef";TRUE;1869;"finansministeriet";254
2750;"Frederik Christian Lebel";"F. C. Lebel";FALSE;"fuldmægtig";TRUE;1869;"finansministeriet";291
2731;"S. H. A. Wedel";"S. H. A. Wedel";TRUE;"departementschef";FALSE;1869;"finansministeriet";66
2729;"Anders Martin Madsen";"A. M. Madsen";FALSE;"fuldmægtig";FALSE;1869;"finansministeriet";237
4441;"C. M. Weis";"C. M. Weis";TRUE;"departementschef";TRUE;1869;"kultusministeriet";95
2720;"Frederik Ferdinand Nielsen";"F. F. Nielsen";FALSE;"fuldmægtig";FALSE;1869;"finansministeriet";269
4439;"Jens Stephan Vilhelm Werlauff";"J. S. V. Werlauff";FALSE;"fuldmægtig";TRUE;1869;"kultusministeriet";278
4426;"Christian Peter Mathias Bache";"C. P. M. Bache";FALSE;"fuldmægtig";TRUE;1869;"indenrigsministeriet";233
4425;"Theodor Johan Aagaard";"T. J. Aagaard";FALSE;"fuldmægtig";TRUE;1869;"indenrigsministeriet";239
4424;"L. P. Larsen";"L. P. Larsen";TRUE;"departementschef";TRUE;1869;"indenrigsministeriet";32
4423;"Evvard Christian Peter Blechingberg";"E. C. P. Blechingberg";FALSE;"kontorchef";TRUE;1869;"indenrigsministeriet";30
4422;"Ars Christian Nyholm";"A. C. Nyholm";FALSE;"fuldmægtig";TRUE;1869;"indenrigsministeriet";226
4421;"Ludvig Christian Børup";"L. C. Børup";FALSE;"fuldmægtig";TRUE;1869;"indenrigsministeriet";292
4420;"Peter Georg Tost Birk";"P. G. T. Birk";FALSE;"kontorchef";TRUE;1869;"indenrigsministeriet";97
4419;"Oluf Absalon Bøgh";"O. A. Bøgh";FALSE;"fuldmægtig";TRUE;1869;"indenrigsministeriet";285
4440;"I. Ä. F. de Jonquiéres";"I. Ä. F. d. Jonquiéres";TRUE;"kontorchef";TRUE;1869;"kultusministeriet";94
7743;"Peter Fredenk Koch";"P. F. Koch";FALSE;"fuldmægtig";TRUE;1869;"justitsministeriet";253
7749;"O. Algreen-Ussing";"O. Algreen-Ussing";TRUE;"fuldmægtig";TRUE;1869;"justitsministeriet";282
7747;"Christian Ludvig Tycho Brcestrup";"C. L. T. Brcestrup";FALSE;"fuldmægtig";TRUE;1869;"justitsministeriet";272
7746;"Hans Peter Bärthelson";"H. P. Bärthelson";FALSE;"kontorchef";TRUE;1869;"justitsministeriet";197
7745;"O. Stephensen";"O. Stephensen";TRUE;"departementschef";TRUE;1869;"justitsministeriet";62
2753;"E. T. I. Schiern";"E. T. I. Schiern";TRUE;"departementschef";TRUE;1869;"finansministeriet";108
2754;"Carl Wilhelm Lange";"C. W. Lange";FALSE;"fuldmægtig";TRUE;1869;"finansministeriet";250
2755;"M. Levy";"M. Levy";TRUE;"kontorchef";TRUE;1869;"finansministeriet";158
7740;"Christian Emanuel Frits Reinhardt";"C. E. F. Reinhardt";FALSE;"kontorchef";FALSE;1869;"justitsministeriet";245
7741;"Wilhelm Emil Mathias Peter Peterson";"W. E. M. P. Peterson";FALSE;"kontorchef";TRUE;1869;"justitsministeriet";142
7742;"Christian Ditlev Mourier";"C. D. Mourier";FALSE;"fuldmægtig";TRUE;1869;"justitsministeriet";283
